slug,code_commune,nom_ville,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
abergement-clemenciat_1001,1001,L'Abergement Clemenciat,5.50,6.00,5.00,7.00,3.00,6.00,4.00,5.00,4.00,6.00
amberieu-en-bugey_1004,1004,Amberieu En Bugey,6.11,6.27,6.73,4.58,6.15,7.42,5.46,6.31,6.54,6.04
ambutrix_1008,1008,Ambutrix,5.94,5.00,5.00,8.00,4.00,4.00,4.00,7.00,2.00,7.00
attignat_1024,1024,Attignat,8.44,8.00,5.00,9.00,9.00,9.00,5.00,10.00,8.00,9.00
beauregard_1030,1030,Beauregard,8.38,8.00,2.00,7.00,5.00,8.00,7.00,10.00,7.00,10.00
bellignat_1031,1031,Bellignat,3.00,4.00,4.00,2.00,0.00,3.00,4.00,4.00,3.00,3.00
beligneux_1032,1032,Beligneux,5.35,6.00,6.50,4.00,3.00,1.00,5.00,4.50,7.50,6.00
beligneux_1032,1032,Beligneux,5.35,6.00,6.50,4.00,3.00,1.00,5.00,4.50,7.50,6.00
beligneux_1032,1032,Beligneux,5.35,6.00,6.50,4.00,3.00,1.00,5.00,4.50,7.50,6.00
beligneux_1032,1032,Beligneux,5.35,6.00,6.50,4.00,3.00,1.00,5.00,4.50,7.50,6.00
bellegarde-sur-valserine_1033,1033,Valserhone,5.09,5.24,4.84,4.11,3.29,5.89,4.89,5.47,4.92,5.34
belley_1034,1034,Belley,6.24,6.69,4.69,6.08,5.85,6.38,5.46,7.15,5.85,6.46
beny_1038,1038,Beny,2.00,8.00,0.00,0.00,2.00,1.00,7.00,3.00,3.00,1.00
beynost_1043,1043,Beynost,7.27,7.83,5.83,6.67,6.50,6.33,5.67,8.17,8.00,7.67
blyes_1047,1047,Blyes,7.56,8.00,6.00,8.00,5.00,7.00,4.00,9.00,2.00,9.00
